"","Country","Fertility Rate","Population","Country Code"
"1","Niger","6.82","24785.587","NER"
"2","Somalia","6.3120000000000003","16801.169999999998","SOM"
"3","Chad","6.2549999999999999","16910.218000000001","TCD"
"4","Democratic Republic of the Congo","6.1559999999999997","94374.379000000001","COD"
"5","Central African Republic","5.9779999999999998","5414.0140000000001","CAF"
"6","Mali","5.9560000000000004","21561.298999999999","MLI"
"7","Angola","5.3040000000000003","33957.974999999999","AGO"
"8","Nigeria","5.2370000000000001","210874.21400000001","NGA"
"9","Burundi","5.0780000000000003","12386.556","BDI"
"10","Benin","4.9729999999999999","12819.427","BEN"
"11","Burkina Faso","4.7720000000000002","21813.359","BFA"
"12","United Republic of Tanzania","4.726","62637.07","TZA"
"13","Gambia","4.6840000000000002","2606.9409999999998","GMB"
"14","Mozambique","4.6440000000000001","31635.725999999999","MOZ"
"15","Afghanistan","4.6429999999999998","39618.434000000001","AFG"
"16","Uganda","4.585","45123.358999999997","UGA"
"17","South Sudan","4.4690000000000003","10667.013000000001","SSD"
"18","Cameroon","4.4630000000000001","26845.044000000002","CMR"
"19","Sudan","4.4569999999999999","45052.904000000002","SDN"
"20","Mayotte","4.4390000000000001","310.82299999999998","MYT"
"21","Côte d'Ivoire","4.4180000000000001","27146.007000000001","CIV"
"22","Guinea","4.399","13368.718999999999","GIN"
"23","Mauritania","4.3979999999999997","4556.2740000000003","MRT"
"24","Senegal","4.3869999999999996","16656.773000000001","SEN"
"25","Zambia","4.3079999999999998","19200.511999999999","ZMB"
"26","Equatorial Guinea","4.266","1613.7239999999999","GNQ"
"27","Togo","4.2569999999999997","8542.9240000000009","TGO"
"28","Congo","4.1710000000000003","5769.06","COG"
"29","Ethiopia","4.1589999999999998","118743.462","ETH"
"30","Liberia","4.0890000000000004","5140.9780000000001","LBR"
"31","Guinea-Bissau","4.0049999999999999","2038.3530000000001","GNB"
"32","Solomon Islands","3.9830000000000001","699.48400000000004","SLB"
"33","Comoros","3.9780000000000002","814.00599999999997","COM"
"34","Sierra Leone","3.9780000000000002","8327.732","SLE"
"35","Samoa","3.93","216.8","WSM"
"36","Malawi","3.9169999999999998","19633.241000000002","MWI"
"37","Eritrea","3.867","3588.0830000000001","ERI"
"38","Madagascar","3.851","28571.222000000002","MDG"
"39","Sao Tome and Principe","3.823","221.06","STP"
"40","Rwanda","3.8210000000000002","13305.392","RWA"
"41","Yemen","3.7949999999999999","32640.962","YEM"
"42","Vanuatu","3.7349999999999999","315.39800000000002","VUT"
"43","Ghana","3.5630000000000002","32511.557000000001","GHA"
"44","Nauru","3.5190000000000001","12.414","NRU"
"45","French Guiana","3.508","294.12900000000002","GUF"
"46","State of Palestine","3.504","5076.8180000000002","PSE"
"47","Iraq","3.496","43071.016000000003","IRQ"
"48","Zimbabwe","3.4910000000000001","15834.106","ZWE"
"49","Gabon","3.4910000000000001","2317.1509999999998","GAB"
"50","Pakistan","3.47","229280.62100000001","PAK"
"51","Kenya","3.335","52511.349000000002","KEN"
"52","Kiribati","3.3039999999999998","127.67100000000001","KIR"
"53","Namibia","3.3029999999999999","2511.1190000000001","NAM"
"54","Tonga","3.2370000000000001","105.63500000000001","TON"
"55","Papua New Guinea","3.2149999999999999","9850.4619999999995","PNG"
"56","Tajikistan","3.1859999999999999","9643.5969999999998","TJK"
"57","Tuvalu","3.1629999999999998","11.14","TUV"
"58","Timor-Leste","3.149","1310.2360000000001","TLS"
"59","Kazakhstan","3.0840000000000001","19097.429","KAZ"
"60","Lesotho","3.0179999999999998","2268.596","LSO"
"61","Kyrgyzstan","2.9910000000000001","6477.4179999999997","KGZ"
"62","Israel","2.976","8829.3850000000002","ISR"
"63","Egypt","2.9169999999999998","108391.549","EGY"
"64","Algeria","2.8889999999999998","43812.345000000001","DZA"
"65","Uzbekistan","2.8570000000000002","33809.85","UZB"
"66","Eswatini","2.839","1187.088","SWZ"
"67","Mongolia","2.8370000000000002","3322.2069999999999","MNG"
"68","Jordan","2.83","11040.365","JOR"
"69","Haiti","2.8140000000000001","11379.094999999999","HTI"
"70","Djibouti","2.8039999999999998","1097.9680000000001","DJI"
"71","Botswana","2.7909999999999999","2569.2629999999999","BWA"
"72","Faroe Islands","2.7749999999999999","52.781999999999996","FRO"
"73","Philippines","2.7480000000000002","113094.33199999999","PHL"
"74","Syrian Arab Republic","2.7469999999999999","21059.148000000001","SYR"
"75","Marshall Islands","2.7290000000000001","42.746000000000002","MHL"
"76","Micronesia (Fed. States of)","2.7109999999999999","112.624","FSM"
"77","Tokelau","2.7069999999999999","1.837","TKL"
"78","Turkmenistan","2.6669999999999998","6296.51","TKM"
"79","Oman","2.6230000000000002","4497.6610000000001","OMN"
"80","Bolivia (Plurinational State of)","2.6179999999999999","12009.977999999999","BOL"
"81","Guam","2.569","169.886","GUM"
"82","Lao People's Democratic Republic","2.496","7373.1450000000004","LAO"
"83","Fiji","2.4750000000000001","922.75300000000004","FJI"
"84","Paraguay","2.4689999999999999","6664.3509999999997","PRY"
"85","Libya","2.4620000000000002","6695.8559999999998","LBY"
"86","Niue","2.4489999999999998","1.9430000000000001","NIU"
"87","Saudi Arabia","2.427","35764.241000000002","SAU"
"88","Saint Martin (French part)","2.415","32.256","MAF"
"89","Palau","2.4089999999999998","17.997","PLW"
"90","Guyana","2.3969999999999998","802.56200000000001","GUY"
"91","Guatemala","2.395","17494.264999999999","GTM"
"92","South Africa","2.3740000000000001","59137.71","ZAF"
"93","Honduras","2.363","10201.736000000001","HND"
"94","Seychelles","2.3479999999999999","106.054","SYC"
"95","Suriname","2.3479999999999999","610.32500000000005","SUR"
"96","Cambodia","2.3439999999999999","16497.440999999999","KHM"
"97","Morocco","2.3279999999999998","36888.699999999997","MAR"
"98","Panama","2.3250000000000002","4323.2520000000004","PAN"
"99","Nicaragua","2.3210000000000002","6802.0860000000002","NIC"
"100","Western Sahara","2.3109999999999999","560.851","ESH"
"101","American Samoa","2.274","45.624000000000002","ASM"
"102","Dominican Republic","2.2730000000000001","11059.98","DOM"
"103","Réunion","2.2549999999999999","962.12699999999995","REU"
"104","Cook Islands","2.2450000000000001","17.015999999999998","COK"
"105","Venezuela (Bolivarian Republic of)","2.2109999999999999","28352.075000000001","VEN"
"106","Peru","2.1920000000000002","33519.231","PER"
"107","Indonesia","2.1749999999999998","272890.09299999999","IDN"
"108","Northern Mariana Islands","2.1720000000000002","49.542999999999999","MNP"
"109","Myanmar","2.1509999999999998","53618.425000000003","MMR"
"110","United States Virgin Islands","2.1280000000000001","100.342","VIR"
"111","Monaco","2.1110000000000002","36.811","MCO"
"112","Kuwait","2.11","4252.5280000000002","KWT"
"113","Lebanon","2.0910000000000002","5631.3249999999998","LBN"
"114","Tunisia","2.0859999999999999","12217.195","TUN"
"115","Georgia","2.081","3762.6410000000001","GEO"
"116","Guadeloupe","2.052","396.185","GLP"
"117","India","2.0310000000000001","1402807.8670000001","IND"
"118","Nepal","2.0289999999999999","29698.027999999998","NPL"
"119","Ecuador","2.0259999999999998","17690.027999999998","ECU"
"120","New Caledonia","2.0249999999999999","287.18700000000001","NCL"
"121","Belize","2.0099999999999998","397.41500000000002","BLZ"
"122","Grenada","2.004","124.167","GRD"
"123","Sri Lanka","1.99","21746.996999999999","LKA"
"124","Bangladesh","1.9810000000000001","168414.908","BGD"
"125","Greenland","1.976","56.119","GRL"
"126","Wallis and Futuna Islands","1.958","11.641999999999999","WLF"
"127","Viet Nam","1.944","97093.774000000005","VNM"
"128","Martinique","1.915","369.83100000000002","MTQ"
"129","Cabo Verde","1.8959999999999999","585.34699999999998","CPV"
"130","Türkiye","1.889","84459.173999999999","TUR"
"131","Argentina","1.885","45163.623","ARG"
"132","Gibraltar","1.8480000000000001","32.713999999999999","GIB"
"133","Mexico","1.8220000000000001","126386.14200000001","MEX"
"134","Bahrain","1.8109999999999999","1460.905","BHR"
"135","Dem. People's Republic of Korea","1.8089999999999999","25921.701000000001","PRK"
"136","Republic of Moldova","1.806","3074.67","MDA"
"137","Malaysia","1.8029999999999999","33396.347999999998","MYS"
"138","El Salvador","1.8029999999999999","6304.54","SLV"
"139","Qatar","1.8009999999999999","2692.14","QAT"
"140","Saint Vincent and the Grenadines","1.7969999999999999","104.553","VCT"
"141","France","1.79","64502.345999999998","FRA"
"142","Brunei Darussalam","1.778","443.55700000000002","BRN"
"143","New Zealand","1.7729999999999999","5095.7709999999997","NZL"
"144","Ireland","1.768","4967.1639999999998","IRL"
"145","Romania","1.748","19394.347000000002","ROU"
"146","Iceland","1.7330000000000001","368.99799999999999","ISL"
"147","Denmark","1.7190000000000001","5840.5039999999999","DNK"
"148","Colombia","1.7170000000000001","51244.296999999999","COL"
"149","Czechia","1.6990000000000001","10523.995999999999","CZE"
"150","French Polynesia","1.6990000000000001","303.09699999999998","PYF"
"151","Iran (Islamic Republic of)","1.6919999999999999","87590.222999999998","IRN"
"152","Maldives","1.6919999999999999","517.98599999999999","MDV"
"153","Montenegro","1.6910000000000001","628.20500000000004","MNE"
"154","Estonia","1.6759999999999999","1329.8019999999999","EST"
"155","Sweden","1.67","10416.525","SWE"
"156","Turks and Caicos Islands","1.669","44.698999999999998","TCA"
"157","Azerbaijan","1.6639999999999999","10296.374","AZE"
"158","United States of America","1.6619999999999999","336495.76899999997","USA"
"159","Bonaire, Sint Eustatius and Saba","1.6579999999999999","26.443000000000001","BES"
"160","Curaçao","1.651","189.97300000000001","CUW"
"161","Saint Helena","1.65","5.4050000000000002","SHN"
"162","Brazil","1.641","213827.67199999999","BRA"
"163","Netherlands","1.64","17466.838","NLD"
"164","Barbados","1.633","280.959","BRB"
"165","Slovenia","1.627","2119.0300000000002","SVN"
"166","Trinidad and Tobago","1.6259999999999999","1522.394","TTO"
"167","Lithuania","1.6220000000000001","2804.6329999999998","LTU"
"168","Australia","1.5960000000000001","25795.921999999999","AUS"
"169","Dominica","1.595","72.224999999999994","DMA"
"170","Falkland Islands (Malvinas)","1.59","3.7570000000000001","FLK"
"171","Bulgaria","1.5860000000000001","6938.1139999999996","BGR"
"172","Latvia","1.583","1886.86","LVA"
"173","Belgium","1.583","11582.16","BEL"
"174","Sint Maarten (Dutch part)","1.581","43.915999999999997","SXM"
"175","Antigua and Barbuda","1.58","92.950999999999993","ATG"
"176","Hungary","1.5780000000000001","9731.0249999999996","HUN"
"177","Armenia","1.575","2798.721","ARM"
"178","Montserrat","1.5740000000000001","4.4450000000000003","MSR"
"179","Slovakia","1.5660000000000001","5455.8090000000002","SVK"
"180","Isle of Man","1.5640000000000001","84.093000000000004","IMN"
"181","United Kingdom","1.5620000000000001","67167.774000000005","GBR"
"182","Saint Pierre and Miquelon","1.5620000000000001","5.8929999999999998","SPM"
"183","Chile","1.5369999999999999","19393.940999999999","CHL"
"184","Costa Rica","1.5329999999999999","5140.8509999999997","CRI"
"185","Saint Kitts and Nevis","1.5309999999999999","47.603999999999999","KNA"
"186","Germany","1.53","83390.320000000007","DEU"
