"X","Country","Fertility.Rate","Population","Country.Code"
1,"Niger","6.82",24785.587,"NER"
2,"Somalia","6.3120000000000003",16801.17,"SOM"
3,"Chad","6.2549999999999999",16910.218,"TCD"
4,"Democratic Republic of the Congo","6.1559999999999997",94374.379,"COD"
5,"Central African Republic","5.9779999999999998",5414.014,"CAF"
6,"Mali","5.9560000000000004",21561.299,"MLI"
7,"Angola","5.3040000000000003",33957.975,"AGO"
8,"Nigeria","5.2370000000000001",210874.214,"NGA"
9,"Burundi","5.0780000000000003",12386.556,"BDI"
10,"Benin","4.9729999999999999",12819.427,"BEN"
11,"Burkina Faso","4.7720000000000002",21813.359,"BFA"
12,"Tanzania","4.726",62637.07,"TZA"
13,"Gambia","4.6840000000000002",2606.941,"GMB"
14,"Mozambique","4.6440000000000001",31635.726,"MOZ"
15,"Afghanistan","4.6429999999999998",39618.434,"AFG"
16,"Uganda","4.585",45123.359,"UGA"
17,"South Sudan","4.4690000000000003",10667.013,"SSD"
18,"Cameroon","4.4630000000000001",26845.044,"CMR"
19,"Sudan","4.4569999999999999",45052.904,"SDN"
20,"Mayotte","4.4390000000000001",310.823,"MYT"
21,"Ivory Coast","4.4180000000000001",27146.007,"CIV"
22,"Guinea","4.399",13368.719,"GIN"
23,"Mauritania","4.3979999999999997",4556.274,"MRT"
24,"Senegal","4.3869999999999996",16656.773,"SEN"
25,"Zambia","4.3079999999999998",19200.512,"ZMB"
26,"Equatorial Guinea","4.266",1613.724,"GNQ"
27,"Togo","4.2569999999999997",8542.924,"TGO"
28,"Republic of Congo","4.1710000000000003",5769.06,"COG"
29,"Ethiopia","4.1589999999999998",118743.462,"ETH"
30,"Liberia","4.0890000000000004",5140.978,"LBR"
31,"Guinea-Bissau","4.0049999999999999",2038.353,"GNB"
32,"Solomon Islands","3.9830000000000001",699.484,"SLB"
33,"Comoros","3.9780000000000002",814.006,"COM"
34,"Sierra Leone","3.9780000000000002",8327.732,"SLE"
35,"Samoa","3.93",216.8,"WSM"
36,"Malawi","3.9169999999999998",19633.241,"MWI"
37,"Eritrea","3.867",3588.083,"ERI"
38,"Madagascar","3.851",28571.222,"MDG"
39,"Sao Tome and Principe","3.823",221.06,"STP"
40,"Rwanda","3.8210000000000002",13305.392,"RWA"
41,"Yemen","3.7949999999999999",32640.962,"YEM"
42,"Vanuatu","3.7349999999999999",315.398,"VUT"
43,"Ghana","3.5630000000000002",32511.557,"GHA"
